sample,thin_sample,who,value
156,1560,monkeys,0.081727
156,1560,kids,0.015167
156,1560,tsimane,0.002031
156,1560,adults,0.003678
157,1570,monkeys,0.090033
157,1570,kids,0.015957
157,1570,tsimane,0.002454
157,1570,adults,0.006528
158,1580,monkeys,0.086626
158,1580,kids,0.015544
158,1580,tsimane,0.001915
158,1580,adults,0.000680
159,1590,monkeys,0.085126
159,1590,kids,0.015551
159,1590,tsimane,0.001933
159,1590,adults,0.000570
160,1600,monkeys,0.084131
160,1600,kids,0.015779
160,1600,tsimane,0.001888
160,1600,adults,0.000586
161,1610,monkeys,0.092791
161,1610,kids,0.014738
161,1610,tsimane,0.001169
161,1610,adults,0.001621
162,1620,monkeys,0.094365
162,1620,kids,0.013848
162,1620,tsimane,0.000889
162,1620,adults,0.002949
163,1630,monkeys,0.093819
163,1630,kids,0.013845
163,1630,tsimane,0.000921
163,1630,adults,0.002565
164,1640,monkeys,0.074909
164,1640,kids,0.018440
164,1640,tsimane,0.003567
164,1640,adults,0.000194
165,1650,monkeys,0.074686
165,1650,kids,0.017054
165,1650,tsimane,0.006309
165,1650,adults,0.000327
166,1660,monkeys,0.079712
166,1660,kids,0.015802
166,1660,tsimane,0.005401
166,1660,adults,0.000538
167,1670,monkeys,0.100728
167,1670,kids,0.015563
167,1670,tsimane,0.000212
167,1670,adults,0.000747
168,1680,monkeys,0.090711
168,1680,kids,0.023227
168,1680,tsimane,0.002716
168,1680,adults,0.001376
169,1690,monkeys,0.096310
169,1690,kids,0.023955
169,1690,tsimane,0.002633
169,1690,adults,0.001383
170,1700,monkeys,0.088199
170,1700,kids,0.025512
170,1700,tsimane,0.003068
170,1700,adults,0.001015
171,1710,monkeys,0.090185
171,1710,kids,0.007624
171,1710,tsimane,0.002172
171,1710,adults,0.001266
172,1720,monkeys,0.091042
172,1720,kids,0.006508
172,1720,tsimane,0.001291
172,1720,adults,0.001192
173,1730,monkeys,0.091042
173,1730,kids,0.006508
173,1730,tsimane,0.001291
173,1730,adults,0.001192
174,1740,monkeys,0.091963
174,1740,kids,0.006420
174,1740,tsimane,0.001369
174,1740,adults,0.001322
175,1750,monkeys,0.091963
175,1750,kids,0.006420
175,1750,tsimane,0.001369
175,1750,adults,0.001322
176,1760,monkeys,0.090639
176,1760,kids,0.006380
176,1760,tsimane,0.001349
176,1760,adults,0.001501
177,1770,monkeys,0.090639
177,1770,kids,0.006380
177,1770,tsimane,0.001349
177,1770,adults,0.001501
178,1780,monkeys,0.090639
178,1780,kids,0.006380
178,1780,tsimane,0.001349
178,1780,adults,0.001501
179,1790,monkeys,0.090639
179,1790,kids,0.006380
179,1790,tsimane,0.001349
179,1790,adults,0.001501
180,1800,monkeys,0.091415
180,1800,kids,0.006427
180,1800,tsimane,0.001158
180,1800,adults,0.001445
181,1810,monkeys,0.093948
181,1810,kids,0.006401
181,1810,tsimane,0.001167
181,1810,adults,0.001438
182,1820,monkeys,0.092470
182,1820,kids,0.006256
182,1820,tsimane,0.001234
182,1820,adults,0.001290
183,1830,monkeys,0.088677
183,1830,kids,0.006468
183,1830,tsimane,0.001064
183,1830,adults,0.001292
184,1840,monkeys,0.094126
184,1840,kids,0.006310
184,1840,tsimane,0.000932
184,1840,adults,0.001461
185,1850,monkeys,0.099384
185,1850,kids,0.008396
185,1850,tsimane,0.000953
185,1850,adults,0.000365
186,1860,monkeys,0.099856
186,1860,kids,0.008112
186,1860,tsimane,0.000882
186,1860,adults,0.000364
187,1870,monkeys,0.097009
187,1870,kids,0.007432
187,1870,tsimane,0.000749
187,1870,adults,0.000277
188,1880,monkeys,0.093472
188,1880,kids,0.008766
188,1880,tsimane,0.001167
188,1880,adults,0.000358
189,1890,monkeys,0.097064
189,1890,kids,0.009741
189,1890,tsimane,0.000957
189,1890,adults,0.000101
190,1900,monkeys,0.105809
190,1900,kids,0.009116
190,1900,tsimane,0.000583
190,1900,adults,0.000432
191,1910,monkeys,0.105438
191,1910,kids,0.008449
191,1910,tsimane,0.000470
191,1910,adults,0.000305
192,1920,monkeys,0.100855
192,1920,kids,0.006853
192,1920,tsimane,0.000909
192,1920,adults,0.000589
193,1930,monkeys,0.106660
193,1930,kids,0.006356
193,1930,tsimane,0.000759
193,1930,adults,0.001207
194,1940,monkeys,0.079164
194,1940,kids,0.009392
194,1940,tsimane,0.000321
194,1940,adults,0.001237
195,1950,monkeys,0.079187
195,1950,kids,0.010449
195,1950,tsimane,0.000399
195,1950,adults,0.000937
196,1960,monkeys,0.080700
196,1960,kids,0.010152
196,1960,tsimane,0.000392
196,1960,adults,0.000491
197,1970,monkeys,0.086839
197,1970,kids,0.009544
197,1970,tsimane,0.000640
197,1970,adults,0.000963
198,1980,monkeys,0.077926
198,1980,kids,0.012549
198,1980,tsimane,0.005350
198,1980,adults,0.000163
199,1990,monkeys,0.079178
199,1990,kids,0.012187
199,1990,tsimane,0.001924
199,1990,adults,0.000109
200,2000,monkeys,0.082664
200,2000,kids,0.012654
200,2000,tsimane,0.003554
200,2000,adults,0.000132
201,2010,monkeys,0.082747
201,2010,kids,0.012477
201,2010,tsimane,0.003691
201,2010,adults,0.000145
202,2020,monkeys,0.083010
202,2020,kids,0.012616
202,2020,tsimane,0.003391
202,2020,adults,0.000148
203,2030,monkeys,0.082012
203,2030,kids,0.012352
203,2030,tsimane,0.003476
203,2030,adults,0.000148
204,2040,monkeys,0.079952
204,2040,kids,0.015394
204,2040,tsimane,0.002792
204,2040,adults,0.000085
205,2050,monkeys,0.093005
205,2050,kids,0.015170
205,2050,tsimane,0.001236
205,2050,adults,0.000137
206,2060,monkeys,0.089795
206,2060,kids,0.015391
206,2060,tsimane,0.001355
206,2060,adults,0.000111
207,2070,monkeys,0.086376
207,2070,kids,0.016201
207,2070,tsimane,0.001806
207,2070,adults,0.000071
208,2080,monkeys,0.092528
208,2080,kids,0.016257
208,2080,tsimane,0.002038
208,2080,adults,0.000246
209,2090,monkeys,0.092332
209,2090,kids,0.016197
209,2090,tsimane,0.002178
209,2090,adults,0.000291
210,2100,monkeys,0.093495
210,2100,kids,0.015800
210,2100,tsimane,0.002292
210,2100,adults,0.000299
211,2110,monkeys,0.093310
211,2110,kids,0.015994
211,2110,tsimane,0.002139
211,2110,adults,0.000305
212,2120,monkeys,0.095735
212,2120,kids,0.015579
212,2120,tsimane,0.002378
212,2120,adults,0.000270
213,2130,monkeys,0.095402
213,2130,kids,0.015553
213,2130,tsimane,0.002341
213,2130,adults,0.000280
214,2140,monkeys,0.094522
214,2140,kids,0.015511
214,2140,tsimane,0.002273
214,2140,adults,0.000277
