sample,thin_sample,who,value
230,2300,monkeys,0.067116
230,2300,kids,0.016795
230,2300,tsimane,0.001136
230,2300,adults,0.000115
231,2310,monkeys,0.079114
231,2310,kids,0.012110
231,2310,tsimane,0.001623
231,2310,adults,0.003230
232,2320,monkeys,0.082647
232,2320,kids,0.015130
232,2320,tsimane,0.001597
232,2320,adults,0.000092
233,2330,monkeys,0.081288
233,2330,kids,0.013590
233,2330,tsimane,0.001500
233,2330,adults,0.002171
234,2340,monkeys,0.071809
234,2340,kids,0.014482
234,2340,tsimane,0.001619
234,2340,adults,0.001528
235,2350,monkeys,0.077886
235,2350,kids,0.013767
235,2350,tsimane,0.000982
235,2350,adults,0.000555
236,2360,monkeys,0.083307
236,2360,kids,0.015831
236,2360,tsimane,0.000893
236,2360,adults,0.001110
237,2370,monkeys,0.073482
237,2370,kids,0.012942
237,2370,tsimane,0.002031
237,2370,adults,0.000451
238,2380,monkeys,0.085743
238,2380,kids,0.012651
238,2380,tsimane,0.006466
238,2380,adults,0.000114
239,2390,monkeys,0.081206
239,2390,kids,0.014923
239,2390,tsimane,0.007218
239,2390,adults,0.000148
240,2400,monkeys,0.063218
240,2400,kids,0.019808
240,2400,tsimane,0.001044
240,2400,adults,0.000132
241,2410,monkeys,0.064746
241,2410,kids,0.019671
241,2410,tsimane,0.001020
241,2410,adults,0.000153
242,2420,monkeys,0.074678
242,2420,kids,0.017983
242,2420,tsimane,0.003416
242,2420,adults,0.000460
243,2430,monkeys,0.084294
243,2430,kids,0.011235
243,2430,tsimane,0.000917
243,2430,adults,0.000823
244,2440,monkeys,0.079437
244,2440,kids,0.018667
244,2440,tsimane,0.001870
244,2440,adults,0.001058
245,2450,monkeys,0.081182
245,2450,kids,0.008705
245,2450,tsimane,0.001951
245,2450,adults,0.000621
246,2460,monkeys,0.082289
246,2460,kids,0.009289
246,2460,tsimane,0.002371
246,2460,adults,0.000559
247,2470,monkeys,0.081599
247,2470,kids,0.013487
247,2470,tsimane,0.001404
247,2470,adults,0.000779
248,2480,monkeys,0.082074
248,2480,kids,0.017404
248,2480,tsimane,0.001182
248,2480,adults,0.000601
249,2490,monkeys,0.088898
249,2490,kids,0.014868
249,2490,tsimane,0.000354
249,2490,adults,0.000657
250,2500,monkeys,0.084689
250,2500,kids,0.015903
250,2500,tsimane,0.000306
250,2500,adults,0.000786
251,2510,monkeys,0.095909
251,2510,kids,0.009981
251,2510,tsimane,0.000965
251,2510,adults,0.001660
252,2520,monkeys,0.075153
252,2520,kids,0.010853
252,2520,tsimane,0.001023
252,2520,adults,0.001027
253,2530,monkeys,0.077957
253,2530,kids,0.016364
253,2530,tsimane,0.001541
253,2530,adults,0.000466
254,2540,monkeys,0.060983
254,2540,kids,0.015213
254,2540,tsimane,0.004518
254,2540,adults,0.000481
255,2550,monkeys,0.061305
255,2550,kids,0.013027
