sample,thin_sample,who,part,digits,value
180,1800,kids,1,None,0.001727
180,1800,tsimane,2,None,0.068384
180,1800,adults,3,None,0.090856
181,1810,monkeys,0,None,0.029534
181,1810,kids,1,None,0.001565
181,1810,tsimane,2,None,0.155769
181,1810,adults,3,None,0.114937
182,1820,monkeys,0,None,0.023079
182,1820,kids,1,None,0.003184
182,1820,tsimane,2,None,0.071206
182,1820,adults,3,None,0.054647
183,1830,monkeys,0,None,0.024577
183,1830,kids,1,None,0.050498
183,1830,tsimane,2,None,0.041413
183,1830,adults,3,None,0.024675
184,1840,monkeys,0,None,0.021416
184,1840,kids,1,None,0.049869
184,1840,tsimane,2,None,0.029045
184,1840,adults,3,None,0.024772
185,1850,monkeys,0,None,0.145414
185,1850,kids,1,None,0.010632
185,1850,tsimane,2,None,0.124705
185,1850,adults,3,None,0.276993
186,1860,monkeys,0,None,0.049525
186,1860,kids,1,None,0.091439
186,1860,tsimane,2,None,0.031176
186,1860,adults,3,None,0.064882
187,1870,monkeys,0,None,0.089810
187,1870,kids,1,None,0.129951
187,1870,tsimane,2,None,0.034440
187,1870,adults,3,None,0.098996
188,1880,monkeys,0,None,0.018601
188,1880,kids,1,None,0.006565
188,1880,tsimane,2,None,0.178339
188,1880,adults,3,None,0.052129
189,1890,monkeys,0,None,0.327008
189,1890,kids,1,None,0.008257
189,1890,tsimane,2,None,0.025334
189,1890,adults,3,None,0.171652
190,1900,monkeys,0,None,0.175451
190,1900,kids,1,None,0.026270
190,1900,tsimane,2,None,0.218665
190,1900,adults,3,None,0.153238
191,1910,monkeys,0,None,0.175766
191,1910,kids,1,None,0.026107
191,1910,tsimane,2,None,0.127728
191,1910,adults,3,None,0.199728
192,1920,monkeys,0,None,0.205271
192,1920,kids,1,None,0.025851
192,1920,tsimane,2,None,0.020664
192,1920,adults,3,None,0.063440
193,1930,monkeys,0,None,0.012712
193,1930,kids,1,None,0.120639
193,1930,tsimane,2,None,0.047680
193,1930,adults,3,None,0.152568
194,1940,monkeys,0,None,0.008876
194,1940,kids,1,None,0.104279
194,1940,tsimane,2,None,0.044967
194,1940,adults,3,None,0.128494
195,1950,monkeys,0,None,0.019708
195,1950,kids,1,None,0.102975
195,1950,tsimane,2,None,0.020994
195,1950,adults,3,None,0.266639
196,1960,monkeys,0,None,0.065822
196,1960,kids,1,None,0.087409
196,1960,tsimane,2,None,0.017642
196,1960,adults,3,None,0.016279
